index,Error
0,12939268
1,12939293
2,12939330
3,12939363
4,12939408
5,12939429
6,12939484
7,12939509
8,12939550
9,12939583
10,12939627
11,12939646
12,12939691
13,12939727
14,12939769
15,12939795
16,12939836
17,12939868
18,12939909
19,12939946
20,12939975
21,12940021
22,12940056
23,12940090
24,12940128
25,12940157
26,12940196
27,12940228
28,12940267
29,12940306
30,12940337
31,12940375
32,12940409
33,12940444
34,12940481
35,12940520
36,12940551
37,12940594
38,12940636
39,12940667
40,12940700
41,12940732
42,12940769
43,12940816
44,12940845
45,12940877
46,12940917
47,12940962
48,12940989
49,12941027
50,12941062
51,12941095
52,12941127
53,12941167
54,12941203
55,12941242
56,12941280
57,12941316
58,12941350
59,12941388
60,12941417
61,12941462
62,12941494
63,12941527
64,12941566
65,12941600
66,12941641
67,12941679
68,12941718
69,12941738
70,12941773
71,12941814
72,12941853
73,12941892
74,12941926
75,12941950
76,12941995
77,12942036
78,12942070
79,12942107
80,12942139
81,12942175
82,12942213
83,12942250
84,12942285
85,12942321
86,12942353
87,12942394
88,12942429
89,12942469
90,12942505
91,12942537
92,12942571
93,12942605
94,12942646
95,12942681
96,12942715
97,12942753
98,12942785
99,12942827
100,12942858
101,12942902
102,12942934
103,12942970
104,12942999
105,12943041
106,12943079
107,12943108
108,12943147
109,12943185
110,12943214
111,12943258
112,12943296
113,12943324
114,12943366
115,12943394
116,12943436
117,12943464
118,12943513
119,12943546
120,12943580
121,12943613
122,12943658
123,12943697
124,12943715
125,12943766
126,12943804
127,12943834
128,12943863
129,12943908
130,12943940
131,12943973
132,12944006
133,12944050
134,12944087
135,12944117
136,12944158
137,12944187
138,12944232
139,12944265
140,12944300
141,12944336
142,12944376
143,12944411
144,12944446
145,12944481
146,12944517
147,12944555
148,12944590
149,12944627
150,12944659
151,12944684
152,12944737
153,12944778
154,12944806
155,12944840
156,12944876
157,12944912
158,12944949
159,12944979
160,12945018
161,12945052
162,12945094
163,12945127
164,12945166
165,12945200
166,12945240
167,12945274
168,12945318
169,12945335
170,12945377
171,12945420
172,12945464
173,12945487
174,12945525
175,12945559
176,12945602
177,12945631
178,12945671
179,12945703
180,12945734
181,12945778
182,12945814
183,12945854
184,12945884
185,12945917
186,12945958
187,12945994
188,12946030
189,12946064
190,12946105
191,12946138
192,12946181
193,12946213
194,12946247
195,12946272
196,12946319
197,12946354
198,12946392
199,12946429
200,12946458
201,12946500
202,12946530
203,12946577
204,12946598
205,12946632
206,12946668
207,12946708
208,12946743
209,12946793
210,12946819
211,12946850
212,12946897
213,12946926
214,12946958
215,12947004
216,12947039
217,12947070
218,12947115
219,12947145
220,12947188
221,12947218
222,12947259
223,12947289
224,12947318
225,12947372
226,12947394
227,12947432
228,12947465
229,12947503
230,12947542
231,12947578
232,12947615
233,12947656
234,12947684
235,12947714
236,12947751
