,date,Error
0,13254624,13254622
1,13254660,13254660
2,13254696,13254686
3,13254732,13254740
4,13254768,13254760
5,13254804,13254800
6,13254840,13254842
7,13254876,13254870
8,13254912,13254907
9,13254948,13254944
10,13254984,13254986
11,13255020,13255031
12,13255056,13255056
13,13255092,13255087
14,13255128,13255130
15,13255164,13255162
16,13255200,13255200
17,13255236,13255241
18,13255272,13255269
19,13255308,13255308
20,13255344,13255340
21,13255380,13255380
22,13255416,13255417
23,13255452,13255448
24,13255488,13255487
25,13255524,13255523
26,13255560,13255557
27,13255596,13255591
28,13255632,13255625
29,13255668,13255668
30,13255704,13255703
31,13255740,13255751
32,13255776,13255764
33,13255812,13255812
34,13255848,13255849
35,13255884,13255890
36,13255920,13255922
37,13255956,13255952
38,13255992,13255992
39,13256028,13256030
40,13256064,13256063
41,13256100,13256103
42,13256136,13256127
43,13256172,13256180
44,13256208,13256215
45,13256244,13256243
46,13256280,13256283
47,13256316,13256316
48,13256352,13256348
49,13256388,13256388
50,13256424,13256429
51,13256460,13256459
52,13256496,13256495
53,13256532,13256532
54,13256568,13256570
55,13256604,13256610
56,13256640,13256637
57,13256676,13256678
58,13256712,13256713
59,13256748,13256739
60,13256784,13256782
61,13256820,13256820
62,13256856,13256856
63,13256892,13256893
64,13256928,13256918
65,13256964,13256964
66,13257000,13256997
67,13257036,13257029
68,13257072,13257074
69,13257108,13257111
70,13257144,13257141
71,13257180,13257184
72,13257216,13257215
73,13257252,13257252
74,13257288,13257283
75,13257324,13257331
76,13257360,13257347
77,13257396,13257396
78,13257432,13257435
79,13257468,13257458
80,13257504,13257504
81,13257540,13257540
82,13257576,13257580
83,13257612,13257618
84,13257648,13257646
85,13257684,13257678
86,13257720,13257726
87,13257756,13257762
88,13257792,13257790
89,13257828,13257829
90,13257864,13257865
91,13257900,13257902
92,13257936,13257937
93,13257972,13257979
94,13258008,13258000
95,13258044,13258049
96,13258080,13258081
97,13258116,13258115
98,13258152,13258157
99,13258188,13258177
100,13258224,13258229
101,13258260,13258261
102,13258296,13258291
103,13258332,13258334
104,13258368,13258367
105,13258404,13258416
106,13258440,13258449
107,13258476,13258478
108,13258512,13258509
109,13258548,13258546
110,13258584,13258583
111,13258620,13258618
112,13258656,13258652
113,13258692,13258690
114,13258728,13258727
115,13258764,13258762
116,13258800,13258797
117,13258836,13258832
118,13258872,13258884
119,13258908,13258901
120,13258944,13258939
121,13258980,13258982
122,13259016,13259015
123,13259052,13259054
124,13259088,13259091
125,13259124,13259130
126,13259160,13259163
127,13259196,13259192
128,13259232,13259237
129,13259268,13259260
130,13259304,13259304
131,13259340,13259338
132,13259376,13259371
133,13259412,13259414
134,13259448,13259448
135,13259484,13259489
136,13259520,13259513
137,13259556,13259560
138,13259592,13259594
139,13259628,13259628
140,13259664,13259657
141,13259700,13259699
142,13259736,13259729
143,13259772,13259762
144,13259808,13259824
145,13259844,13259848
146,13259880,13259888
147,13259916,13259914
148,13259952,13259955
149,13259988,13259991
150,13260024,13260027
151,13260060,13260060
152,13260096,13260095
153,13260132,13260122
154,13260168,13260171
155,13260204,13260206
156,13260240,13260245
157,13260276,13260275
158,13260312,13260320
159,13260348,13260346
160,13260384,13260378
161,13260420,13260424
162,13260456,13260454
163,13260492,13260486
164,13260528,13260528
165,13260564,13260567
166,13260600,13260601
167,13260636,13260638
168,13260672,13260692
169,13260708,13260712
170,13260744,13260751
171,13260780,13260771
172,13260816,13260817
173,13260852,13260855
174,13260888,13260887
175,13260924,13260920
176,13260960,13260961
177,13260996,13260995
178,13261032,13261030
179,13261068,13261073
180,13261104,13261110
181,13261140,13261141
182,13261176,13261174
183,13261212,13261214
184,13261248,13261252
185,13261284,13261287
186,13261320,13261313
187,13261356,13261355
188,13261392,13261393
189,13261428,13261431
190,13261464,13261468
191,13261500,13261503
192,13261536,13261531
193,13261572,13261569
194,13261608,13261602
195,13261644,13261653
196,13261680,13261680
197,13261716,13261718
198,13261752,13261757
199,13261788,13261787
200,13261824,13261819
201,13261860,13261858
202,13261896,13261896
203,13261932,13261939
204,13261968,13261972
205,13262004,13261999
206,13262040,13262043
207,13262076,13262079
208,13262112,13262107
209,13262148,13262148
210,13262184,13262175
211,13262220,13262221
212,13262256,13262255
213,13262292,13262286
214,13262328,13262325
215,13262364,13262365
216,13262400,13262398
217,13262436,13262437
218,13262472,13262474
219,13262508,13262504
220,13262544,13262543
221,13262580,13262590
222,13262616,13262616
223,13262652,13262648
224,13262688,13262688
225,13262724,13262718
226,13262760,13262765
227,13262796,13262797
228,13262832,13262837
229,13262868,13262872
230,13262904,13262905
231,13262940,13262944
232,13262976,13262976
233,13263012,13263009
234,13263048,13263043
