,date,Error
0,12939264,12939270
1,12939300,12939295
2,12939336,12939332
3,12939372,12939365
4,12939408,12939410
5,12939444,12939431
6,12939480,12939486
7,12939516,12939511
8,12939552,12939552
9,12939588,12939585
10,12939624,12939629
11,12939660,12939648
12,12939696,12939693
13,12939732,12939729
14,12939768,12939771
15,12939804,12939797
16,12939840,12939838
17,12939876,12939870
18,12939912,12939911
19,12939948,12939948
20,12939984,12939977
21,12940020,12940023
22,12940056,12940058
23,12940092,12940092
24,12940128,12940130
25,12940164,12940159
26,12940200,12940198
27,12940236,12940230
28,12940272,12940269
29,12940308,12940308
30,12940344,12940339
31,12940380,12940377
32,12940416,12940411
33,12940452,12940446
34,12940488,12940483
35,12940524,12940522
36,12940560,12940553
37,12940596,12940596
38,12940632,12940638
39,12940668,12940669
40,12940704,12940702
41,12940740,12940734
42,12940776,12940771
43,12940812,12940818
44,12940848,12940847
45,12940884,12940879
46,12940920,12940919
47,12940956,12940964
48,12940992,12940991
49,12941028,12941029
50,12941064,12941064
51,12941100,12941097
52,12941136,12941129
53,12941172,12941169
54,12941208,12941205
55,12941244,12941244
56,12941280,12941282
57,12941316,12941318
58,12941352,12941352
59,12941388,12941390
60,12941424,12941419
61,12941460,12941464
62,12941496,12941496
63,12941532,12941529
64,12941568,12941568
65,12941604,12941602
66,12941640,12941643
67,12941676,12941681
68,12941712,12941720
69,12941748,12941740
70,12941784,12941775
71,12941820,12941816
72,12941856,12941855
73,12941892,12941894
74,12941928,12941928
75,12941964,12941952
76,12942000,12941997
77,12942036,12942038
78,12942072,12942072
79,12942108,12942109
80,12942144,12942141
81,12942180,12942177
82,12942216,12942215
83,12942252,12942252
84,12942288,12942287
85,12942324,12942323
86,12942360,12942355
87,12942396,12942396
88,12942432,12942431
89,12942468,12942471
90,12942504,12942507
91,12942540,12942539
92,12942576,12942573
93,12942612,12942607
94,12942648,12942648
95,12942684,12942683
96,12942720,12942717
97,12942756,12942755
98,12942792,12942787
99,12942828,12942829
100,12942864,12942860
101,12942900,12942904
